,weight,mu_annual,contrib_return,asset_vol_annual,marg_risk,risk_contrib,risk_contrib_pct,label
WSM,0.03649284235114605,0.0728953122942167,0.0026601571396904083,0.4647680774672357,0.30076122627778207,0.010975632015892465,0.06496340212287567,Strong
DPZ,0.03649274766261755,-0.003563397890844,-0.0001300381800520737,0.3047190682504664,0.1525741092654736,0.005567848469273566,0.032955403255586,Risky
CVCO,0.0,0.0596426001015723,0.0,0.40306019484111305,0.24308585009404862,0.0,0.0,Weak
ULTA,0.0,0.024327912419222,0.0,0.34374941960163774,0.1665196198764056,0.0,0.0,Weak
CHWY,0.0,-0.0031728698779884,-0.0,0.627252798508248,0.30061225622320853,0.0,0.0,Weak
DECK,0.0,0.0488095732989586,0.0,0.4447436930677264,0.236603054554472,0.0,0.0,Weak
LULU,0.0,-0.0358334715189471,-0.0,0.4400323708083136,0.22601718352955466,0.0,0.0,Weak
CL,0.036492387402548745,-0.0004135494135032,-1.5091405407655597e-05,0.19058033161732088,0.04944648224252387,0.0018044201856874283,0.010680138870519043,Weak
GHC,7.56914431155337e-07,0.039880697370405,3.018627536419824e-08,0.2681205384405865,0.149210325657786,1.1293944876776567e-07,6.68474563944251e-07,Weak
KMB,3.0495606443265174e-07,-0.0040127207433939,-1.2237035255726684e-09,0.19504751131838008,0.046011532927962485,1.4031496000224806e-08,8.305068133919264e-08,Weak
CLX,3.043225112184407e-07,-0.0217195304325406,-6.609742043716101e-09,0.2602579837160682,0.06650110709920358,2.0237783911236108e-08,1.1978492832101306e-07,Weak
LOPE,0.0,0.0650609109569615,0.0,0.2774641007374374,0.10392675004095855,0.0,0.0,Weak
HCA,0.03649202112360255,0.0374656500535484,0.0013671972931635892,0.30857344901379963,0.14578350666258735,0.005319934804603991,0.031488033078965166,Strong
WAT,0.0,0.0168498882472399,0.0,0.3401787114467694,0.18109515137458265,0.0,0.0,Weak
REGN,7.811255688255586e-07,0.0075463962011287,5.89468302518969e-09,0.3106414993229514,0.10578453280860768,8.263100336306964e-08,4.890826415753604e-07,Weak
IDXX,0.0,0.0231299187266983,0.0,0.3605423777342564,0.2114389372406847,0.0,0.0,Weak
COR,0.03649374330512765,0.0469007413875182,0.0017115836170162656,0.20704436382785116,0.05407873512356766,0.0019735354778654688,0.011681111271468867,Strong
WST,8.367191433551395e-08,0.0038867742933301,3.252138457129939e-10,0.45051342009567885,0.15518905769255992,1.2984965541061005e-08,7.685639758823841e-08,Weak
HALO,0.0,0.0378846353574518,0.0,0.4137235519792771,0.1418774593425796,0.0,0.0,Weak
MEDP,0.0,0.0620870554583813,0.0,0.5070436132540739,0.21994787000936178,0.0,0.0,Weak
CHE,7.256817400132924e-07,0.0103912649070337,7.54075119867528e-09,0.2470027778245532,0.07361943237509289,5.342427778474832e-08,3.1621166196438035e-07,Weak
ABBV,0.036492323788270546,0.0367588843276129,0.0013414171089788337,0.2365130553888085,0.06966728454878664,0.0025423211052038996,0.01504768272512142,Strong
LLY,0.03649380709235585,0.0574459341638709,0.002096420839616479,0.32380204768555987,0.11833038743476734,0.004318326332208128,0.025559636985900563,Strong
VRSK,1.7680908446770528e-06,0.0136015983820749,2.4048861572320847e-08,0.23193436695739766,0.10285150517046858,1.8185080465316006e-07,1.0763523168365935e-06,Weak
URI,0.03649390575680295,0.0846328237048051,0.0030885822922152757,0.37927102976037863,0.2786678945622748,0.010169679881602358,0.060193071583744456,Strong
LII,0.03649367221835625,0.0441591797587249,0.0016115306315463785,0.32711794091893953,0.2254556051895769,0.008227702955579558,0.04869875145931863,Strong
POWL,3.3106516657096106e-06,0.1741823069722055,5.766569447146748e-07,0.6403638656307874,0.23697135653283927,7.845296162309103e-07,4.643533316597783e-06,Weak
GWW,0.00012593587289510017,0.0491219172535989,6.186211527612859e-06,0.2547728247619192,0.146882310401883,1.8497751973310185e-05,0.00010948589548842068,Weak
WTS,1.823804679305765e-06,0.03651746218341,6.660071840647449e-08,0.29215504771830386,0.19155788412441502,3.4936416542401963e-07,2.067843084835599e-06,Weak
ITW,5.777133571605206e-07,0.0115782431498127,6.688905720099096e-09,0.22066020247195914,0.15259773891230918,8.815775204213476e-08,5.217947802795646e-07,Weak
WSO,4.304692703652596e-07,0.024199516451807,1.0417148190201454e-08,0.3130022182455792,0.1941922820857641,8.359380998002355e-08,4.947813743073958e-07,Weak
PH,0.03649375924538105,0.0608770777625175,0.0022216334194276543,0.29515574875776956,0.22958710498344279,0.008378496535109786,0.04959127991967385,Strong
CSL,0.036493404970449846,0.0310063823619599,0.0011315284682036158,0.3207624201062294,0.19839918213150767,0.007240261699331146,0.04285420935828072,Strong
