Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)","Latest Earnings"
BOH,"Bank of Hawaii Corp",2431018000,16.04,3.81,149990000,0.81,2.8,4.58%,2025-10-27
BOOT,"Boot Barn Holdings Inc",5652553000,29.18,6.34,180940000,1.61,0.00,0.00%,2025-10-27
BOX,"Box Inc",4727631000,163.15,0.2,244620000,0.9,0.00,0.00%,2025-12-02
BRC,"Brady Corp",3552301000,16.4,4.6,189260000,0.78,0.965,1.28%,2025-11-17
BTU,"Peabody Energy Corp",3807296000,25.25,1.24,370900000,0.67,0.3,0.96%,2025-10-30
BWA,"Borgwarner Inc",9216178000,9.64,4.42,338000000,1.09,0.68,1.60%,2025-10-30
BXMT,"Blackstone Mortgage Trust Inc Cl A",3055822000,16.05,1.11,-204090000.,1.15,1.88,10.56%,2025-10-29
CABO,"Cable One Inc",922875000,6.56,25,14480000,0.87,0.00,0.00%,2025-11-06
CAKE,"Cheesecake Fact",2688246000,14.55,3.71,156780000,1.06,1.08,2.00%,2025-10-28
CAL,"Caleres Inc",422022000,5.85,2.13,107260000,1.15,0.28,2.25%,2025-12-04
CALM,"Cal-Maine Foods IN",4586160000,3.64,26.01,1220050000,0.22,8.357,8.84%,2025-10-01
CALX,"Calix Inc",3880364000,0,-0.36,-29750000.,1.32,0.00,0.00%,2025-10-29
CARG,"Cargurus Inc Cl A",3466159000,21.42,1.63,20970000,1.52,0.00,0.00%,2025-11-06
CARS,"Cars.com Inc",635956000,7.84,1.32,48190000,1.76,0.00,0.00%,2025-11-06
CASH,"Pathward Financial Inc",1621665000,9.42,7.56,168360000,0.62,0.2,0.28%,2025-10-21
CATY,"Cathay Genl Bncp",3170678000,11,4.17,285980000,0.94,1.36,2.96%,2025-10-21
CBRL,"Cracker Barrel",882297000,12.58,3.15,46380000,1.32,1.25,3.15%,2025-11-13
CBU,"Community Financial System Inc",2940435000,15.16,3.67,182480000,0.77,1.85,3.33%,2025-10-21
CC,"Chemours Company",1931104000,10.57,1.22,86000000,1.65,0.675,5.23%,2025-11-06
CCOI,"Cogent Comm Hlds",2137001000,0,-4.54,-204070000.,0.77,4.025,9.26%,2025-11-06
CCS,"Century Communities Inc",1784065000,6.72,8.94,333820000,1.55,1.13,1.88%,2025-10-22
CE,"Celanese Corp",4400966000,6.81,5.9,-1522000000.,1.13,0.79,1.97%,2025-11-06
CENT,"Central Garden",1920709000,11.62,2.63,107980000,0.67,0.00,0.00%,2025-11-24
CENTA,"Central Garden & Pet",1739012000,10.52,2.63,107980000,0.63,0.00,0.00%,2025-11-24
CENX,"Century Aluminum C",3029784000,27.98,1.16,336800000,2.52,0.00,0.00%,2025-11-03
